pmid,doi,year,journal,source,title,authors,abstract,score
42076915,10.1002/gepi.70040,2026,Genetic epidemiology,MED,Shared and Distinct Genetic Factors Underlying Bile Acid Regulation and Intrahepatic Cholestasis of Pregnancy.,"Zhang X, Li J, Zhu H, Li L, Wang Y, Yang M, Wang L, Lan X, Wang Y, Lin Y, Zeng J, Liu P, Zhou A, Xiao H, Jin X.","Intrahepatic cholestasis of pregnancy (ICP) is a pregnancy-specific liver disorder characterized by elevated total bile acid (TBA) levels, leading to adverse maternal and fetal outcomes. While genetic factors contribute to ICP and bile acid metabolism, the underlying mechanisms remain incompletely understood, particularly in East Asian populations. We conducted a genome-wide association study (GWAS) in 13,357 pregnant women from a Chinese cohort to investigate genetic determinants of TBA levels and ICP. Meta-analysis was performed by combining our data with the Shenzhen cohort. Post-GWAS analy",4
42135028,10.7555/jbr.39.20250530,2026,Journal of biomedical research,MED,Integrative genomic and metabolomic analyses identify novel associations between mQTLs and common diseases in Han Chinese.,"Cai J, Zhang J, Fu Y, Zhu M, Zhu C, Ji C, Jin C, Ma H, Zhu M, Zhang C, Wu L, Du L, Ma H.","While prior metabolomic genome-wide association studies (mGWASs) have identified numerous metabolite quantitative trait loci (mQTLs) in European populations, their characterization in East Asians-particularly Han Chinese-remains limited. Here, we integrated genomic and metabolomic data to systematically map plasma mQTLs in Han Chinese individuals and investigated their associations with common traits and diseases. Genome-wide association study (GWAS) analyses of 846 plasma metabolites were performed in 495 Han Chinese individuals to identify mQTLs. Causal genes with robust evidence were priori",4
41603468,10.1021/acs.jproteome.5c00459,2026,Journal of proteome research,MED,A Multiomic Approach Integrating Genomic and Metabolomic Data Highlights Colorectal Cancer Pathways.,"Iliou A, Chekmeneva E, Pinto RC, Koukouzeli FE, Ntounias Y, Georgakopoulou K, Pouliou M, Agelopoulos M, Tsilidis KK, Gunter MJ, Elliott P, Griffin JL, Dehghan A",Numerous genetic variants have been identified by genome-wide association studies as being associated with colorectal cancer (CRC) risk. Metabolome-wide association analysis was performed for 187 CRC-associated genetic variants using genomic data and untargeted <sup>1</sup>H nuclear magnetic resonance urine metabolomics from 1951 Airwave Health Monitoring Study participants. We identified statistically significant associations between seven CRC single-nucleotide polymorphisms (SNPs) and urinary metabolites. This included SNPs within or close to <i>RHPN2</i> with sucrose (<i>P</i> = 1.2 × 10<su,4
40468989,10.23876/j.krcp.24.135,2026,Kidney research and clinical practice,MED,Integrated genomics and metabolomics to identify cause-specific biomarkers for chronic kidney disease in a Korean population.,"Kang MW, Kim JE, Kang J, Kim S, Park J, Bae S, Kim YS, Choi JY, Cho JY, Han SS.","<h4>Background</h4>The heterogeneity of chronic kidney disease (CKD) and fragmented analysis methods hinder the precise identification of novel biomarkers. We addressed this challenge using two independent cohorts to integrate genomics and metabolomics, aiming to identify cause-specific biomarkers for CKD in the Korean population.<h4>Methods</h4>A longitudinal genome-wide association study using the Cox proportional hazards model was conducted using the Ansan and Ansung cohort. To validate these genomic biomarkers and integrate them with plasma metabolomics biomarkers, we utilized a hospital-b",4
38964323,10.1016/j.cmet.2024.06.007,2024,Cell metabolism,MED,Biological and genetic determinants of glycolysis: Phosphofructokinase isoforms boost energy status of stored red blood cells and transfusion outcomes.,"Nemkov T, Stephenson D, Earley EJ, Keele GR, Hay A, Key A, Haiman ZB, Erickson C, Dzieciatkowska M, Reisz JA, Moore A, Stone M, Deng X, Kleinman S, Spitalnik SL","Mature red blood cells (RBCs) lack mitochondria and thus exclusively rely on glycolysis to generate adenosine triphosphate (ATP) during aging in vivo or storage in blood banks. Here, we leveraged 13,029 volunteers from the Recipient Epidemiology and Donor Evaluation Study to identify associations between end-of-storage levels of glycolytic metabolites and donor age, sex, and ancestry-specific genetic polymorphisms in regions encoding phosphofructokinase 1, platelet (detected in mature RBCs); hexokinase 1 (HK1); and ADP-ribosyl cyclase 1 and 2 (CD38/BST1). Gene-metabolite associations were vali",3
39457388,10.3390/genes15101264,2024,Genes,MED,Metabolomic Changes Associated with AGXT2 Genotype Variants and Stone Formation in a Colony of Cats.,"Hall JA, Brockman JA, Brejda JJ, Jewell DE.","<h4>Objective</h4>The objective of this study was to assess serum chemistries and metabolomic parameters in cats with genetic variants of the alanine-glyoxylate aminotransferase 2 (AGXT2) gene to determine abnormalities associated with urolith formation and better understand effective approaches for the treatment of cats with uroliths.<h4>Methods</h4>AGXT2 genotypes of 445 cats in the colony at Hill's Pet Nutrition, Inc. (Topeka, KS, USA) were assessed in a genome-wide association study. Additionally, the serum chemistries and metabolic profiles of each cat were determined, along with their li",3
39596375,10.3390/ijms252212310,2024,International journal of molecular sciences,MED,Identifying the Shared Metabolite Biomarkers and Potential Intervention Targets for Multiple Sarcopenia-Related Phenotypes.,"Luo J, Li J, Wang W, Zhang R, Zhang D.","The relationship between circulating metabolites and sarcopenia-related phenotypes remains unclear. We explored the causality between circulating metabolites and sarcopenia-related phenotypes. Instrumental variables for the human metabolome were derived from the recently published GWAS, which included 690 plasma metabolites. Summary statistics for four sarcopenia phenotypes (whole-body lean mass (WBLM), usual walking pace, appendicular lean mass (ALM), and handgrip strength (HGS)) (both sexes, males and females) were obtained from relevant GWASs. We used MR to evaluate the association between ",3
40428280,10.3390/diagnostics15101287,2025,"Diagnostics (Basel, Switzerland)",MED,Immune Cells as Mediators of Lipidome Influence on Osteoporosis: Evidence from a Mediation Analysis.,"Xiao J, Zhou W, He J, Zhu Y, Zhang Y, Xiong L.","<b>Background</b>: Although clinical studies have indicated a possible association between dyslipidemia and osteoporosis, the underlying genetic basis and mechanistic pathways remain insufficiently defined. Most prior research has concentrated on conventional lipid markers, which are prone to confounding and limit causal inference. Exploring lipidomic profiles offers a more comprehensive view of lipid metabolism and may reveal novel genetic links beyond traditional lipid traits. Additionally, alterations in immune cell function, often triggered by metabolic disturbances, may contribute to oste",3
41275212,10.1186/s13073-025-01578-7,2025,Genome medicine,MED,Genetic atlas of plasma metabolome across 40 human common diseases: mapping causal metabolites to disease risk.,"Li Y, Cai Y, Ma Q, Yang X, He C, Xu Y, Zhang M, Lu Z, Chen C, Ning C, Liu B, Wei Y, Li X, Jin M, Zhu X, Li B, Zhu Y, Huang C, Miao X, Tian J.","<h4>Background</h4>Metabolites are closely linked to individual health and disease conditions. Identifying genetic factors influencing metabolite levels in specific diseases can enhance our understanding of disease etiology and informing precision medicine. This study aims to characterize the genetic architecture of metabolites in specific disease states and explore their potential biological functions.<h4>Methods</h4>We conducted a comprehensive genome-wide metabolite quantitative trait locus (metQTL) analysis of 249 plasma metabolites across 40 disease states, based on nuclear magnetic reson",3
39852371,10.3390/metabo15010028,2025,Metabolites,MED,DisCo P-ad: Distance-Correlation-Based <i><b>p</b></i>-Value Adjustment Enhances Multiple Testing Corrections for Metabolomics.,"Nandy D, Ghosh D, Kechris K.","<h4>Background</h4>Due to scientific advancements in high-throughput data production technologies, omics studies, such as genomics and metabolomics, often give rise to numerous measurements per sample/subject containing several noisy variables that potentially cloud the true signals relevant to the desired study outcome(s). Therefore, correcting for multiple testing is critical while performing any statistical test of significance to minimize the chances of false or missed discoveries. Such correction practice is commonplace in genome-wide association studies (GWAS) but is also becoming increa",3
40871658,10.3390/nu17162630,2025,Nutrients,MED,"A Genome-Wide Association Study of Circulating Serum Choline, Betaine, Dimethylglycine, and Their Ratios.","Louck LE, Klatt KC, Wallace TC, Ma J, Chung M.","<i>Background/Objectives:</i> Genetic variation has been thought to alter the human dietary requirement for choline and subsequent circulating levels of its metabolites betaine and dimethylglycine (DMG). The aim of this genome-wide association study (GWAS) was to identify single nucleotide polymorphisms (SNPs) associated with serum choline, betaine, and dimethylglycine (DMG) as well as choline-to-betaine and betaine-to-DMG ratios. <i>Methods:</i> Data from the Collaborative Study of Genes, Nutrients and Metabolites (CSGNM; <i>n</i> = 2402) were used to model individual associations of choline,",3
39792658,10.1126/sciadv.adr1725,2025,Science advances,MED,Reduced circulating sphingolipids and &lt;i&gt;CERS2&lt;/i&gt; activity are linked to T2D risk and impaired insulin secretion.,"Khan SR, Ye WW, Van JAD, Singh I, Rabiee Y, Rodricks KL, Zhang X, Nicholson RJ, Razani B, Summers SA, Futerman AH, Gunderson EP, Wheeler MB.","Gestational diabetes mellitus (GDM), a transient form of diabetes that resolves postpartum, is a major risk factor for type 2 diabetes (T2D) in women. While the progression from GDM to T2D is not fully understood, it involves both genetic and environmental components. By integrating clinical, metabolomic, and genome-wide association study (GWAS) data, we identified associations between decreased sphingolipid biosynthesis and future T2D, in part through the <i>rs267738</i> allele of the <i>CERS2</i> gene in Hispanic women shortly after a GDM pregnancy. To understand the impact of the <i>CERS2</",3
41518124,10.1097/mol.0000000000001023,2026,Current opinion in lipidology,MED,Genetic determinants of plasma lipids in Greenlanders.,"Hjerresen J, Jørsboe E, Andersen MK.","<h4>Purpose of review</h4>Greenlanders differ from other populations in terms of traditional lifestyle and genetic architecture. This might have a great impact on lipid levels in the population and the spectrum of genetic variants associated with lipid traits. Here, we review recent advances in lipid genetics in Greenlanders and highlight the potential of moving from single lipid trait analyses to more comprehensive lipidomic profiling.<h4>Recent findings</h4>Genetic association studies in the Greenlandic population have identified variants, including PCSK9 (rs12117661), LDLR (rs730882082), an",3
41974591,10.1111/1753-0407.70225,2026,Journal of diabetes,MED,Genomic Structural Equation Modeling Reveals Cardiovascular-Kidney-Metabolic Syndrome Genetic Architecture.,"Lu C, Li L, Chen J, Chang R, Dong H.","<h4>Background</h4>The genetic basis of cardiovascular-kidney-metabolic syndrome (CKMs) involves complex pleiotropy, necessitating analytical approaches capable of dissecting shared genetic architectures across multiple cardiometabolic traits.<h4>Methods</h4>We employed genomic structural equation modeling (genomic SEM) to integrate summary statistics from six cardiometabolic traits. The model was assessed using standard fit indices. Genome-wide association analyses were performed on 1,862,425 SNPs under stringent quality control measures, with LD Score regression applied to evaluate polygenic",3
41652150,10.1038/s41380-026-03464-z,2026,Molecular psychiatry,MED,A genetic atlas of relationships between circulating metabolites and liability to psychiatric conditions.,"Kiltschewskij DJ, Reay WR, Cairns MJ.","Observational studies have reported alteration of circulating metabolites across several psychiatric conditions, but these studies cannot resolve causal relationships. Emerging evidence suggests a genetic relationship exists between these traits requiring further investigation to identify clinically actionable biology. Here, we used the largest genome-wide association studies available to investigate genetic correlation and causal relationships between 10 psychiatric conditions and 249 circulating metabolites. This revealed 1,100 significantly correlated trait pairings, involving fatty acids, ",3
41478820,10.1016/j.tjpad.2025.100452,2026,The journal of prevention of Alzheimer's disease,MED,Multi-omics integration reveals shared genetic architecture between metabolic markers and gray matter atrophy in Alzheimer's Disease.,"Wang P, Wu X, Sun F, Zhang H, Jiang Y, Wang Q, Ding H, Zhou Y, Liu F, Liu H.","<h4>Background</h4>Alzheimer's disease (AD) is a progressive neurodegenerative disorder characterized by widespread gray matter volume (GMV) reductions. Emerging evidence links glucose and lipid metabolic dysregulation to AD pathophysiology. However, the extent to which AD-related GMV alterations and metabolic traits share a common genetic basis remains poorly understood.<h4>Objectives</h4>To explore the shared genetic architecture between GMV alterations in AD and metabolites related to glucose and lipid metabolism, aiming to provide biological insights into the prevention and treatment of AD",3
