row_id,Year,Biofluid,Metabolic_traits,Platform,Study_population,N_Traits,Cohort_size,N_Loci,Reference,PMID,DOI,PubMed_url,DOI_url,orig_url,notes,flag
74,2022,Plasma,"Lipoprotein lipids and subclasses, fatty acids, amino acids, glycolysis precursors",NMR (Nightingale),UK Biobank (white British UKB sub-population),"168 traits + >14,000 ratios","98,698","215 (out of 892 tested lipid risk loci, this is not a GWAS)","Suhre et al., medRxiv 2022",,10.1101/2022.06.12.22276286,,https://doi.org/10.1101/2022.06.12.22276286,https://www.medrxiv.org/content/10.1101/2022.06.12.22276286v1,preprint/not in PubMed,
75,2022,Serum,Targeted MS with Whole Exome Sequencing,MS (Biocrates p180),Alpine CHRIS Cohort,175,5505,85,"König et al., Metabolites 2022",35888728,10.3390/metabo12070604,https://pubmed.ncbi.nlm.nih.gov/35888728/,https://doi.org/10.3390/metabo12070604,https://www.mdpi.com/2218-1989/12/7/604,platform orig: 'Biocrates p180',
76,2022,Plasma,fourteen PUFA and MUFA phenotypes,NMR (Nightingale),UK Biobank + replication ion two external European studies,14,"101,729",51,"Francis et al., medRxiv 2022",,10.1101/2022.05.27.22275343,,https://doi.org/10.1101/2022.05.27.22275343,https://www.medrxiv.org/content/10.1101/2022.05.27.22275343v2,preprint/not in PubMed,
77,2022,Blood,"Lipoprotein lipids and subclasses, fatty acids, amino acids, glycolysis precursors",NMR (Nightingale),33 predominantly population-based cohorts,233,"136,016",>400,"Karjalainen et al., medRxiv 2022",,10.1101/2022.10.20.22281089,,https://doi.org/10.1101/2022.10.20.22281089,https://www.medrxiv.org/content/10.1101/2022.10.20.22281089v1,preprint/not in PubMed,
78,2022,Plasma,Non-targeted MS,MS (Metabolon HD4),Interval & EPIC Norfolk,913,"14,296",423,"Surendran et al., Nature Medicine 2022",36357675,10.1038/s41591-022-02046-0,https://pubmed.ncbi.nlm.nih.gov/36357675/,https://doi.org/10.1038/s41591-022-02046-0,https://www.nature.com/articles/s41591-022-02046-0,platform orig: 'Metabolon HD4',
79,2022,Plasma,Warfarin metabolites,LC-MS/MS,"sub- Saharan black African population (South Africa, Uganda)",13,548,373 unique SNPs in 13 genes,"Asiimwe et al., Frontiers Pharmacology, 2022",,10.3389/fphar.2022.967082,,https://doi.org/10.3389/fphar.2022.967082,https://www.frontiersin.org/articles/10.3389/fphar.2022.967082/full,platform orig: 'HPLC-MS/MS'; PMID unresolved,
82,2022,Plasma,Non-targeted MS,LC-MS,Black individuals from the Jackson Heart Study,"2,291 metabolite peaks","2,466",519,"Tahir et al., Nature Comms 2022",35995766,10.1038/s41467-022-32275-3,https://pubmed.ncbi.nlm.nih.gov/35995766/,https://doi.org/10.1038/s41467-022-32275-3,https://www.nature.com/articles/s41467-022-32275-3,platform orig: 'Uses two LC-MS methods on an Agilent system & whole genome sequencing',
83,2022,RBC,UHPLC-MS,in-house,Donors at REDS-III US blood centers,382,243,423,"Moore et al., JBC 2022",,,,,https://www.jbc.org/article/S0021-9258(22)01149-8/fulltext,biofluid orig: 'Red blood cells (RBC)'; PMID unresolved; DOI unresolved,review
80,2023,Plasma,Targeted MS,GC-MS,Japanese,121,"4,888",60,"Iwasaki et al., iScience 2023",,,,,https://www.cell.com/iscience/fulltext/S2589-0042(22)02011-9,PMID unresolved; DOI unresolved,review
81,2023,Plasma,Non-targeted MS,MS (Metabolon HD4),Canadian Longitudinal Study of Aging (CLSA),"1,091 + 309 ratios","8,299","1,509","Chen et al., Nature Genetics 2023",36635386,10.1038/s41588-022-01270-1,https://pubmed.ncbi.nlm.nih.gov/36635386/,https://doi.org/10.1038/s41588-022-01270-1,https://www.nature.com/articles/s41588-022-01270-1,platform orig: 'Metabolon HD4',
84,2023,Skeletal muscle (duck),Non-targeted MS,LC-MS/MS + GC-HRMS,Pekin duck × Liancheng duck crosses,3431 metabolites and 702 volatiles,423,"2,862 signals","Liu et al., Advanced Science 2023",37013465,10.1002/advs.202300148,https://pubmed.ncbi.nlm.nih.gov/37013465/,https://doi.org/10.1002/advs.202300148,https://onlinelibrary.wiley.com/doi/10.1002/advs.202300148,platform orig: 'LC–MS/MS and SPME-GC-HRMS',
85,2023,Urine + Plasma,Non-targeted MS,MS (Metabolon HD4),German Chronic Kidney Disease (GCKD) study,"1,916","5,023","1,299","Schlosser et al., Nat. Genet. 2023",37277652,10.1038/s41588-023-01409-8,https://pubmed.ncbi.nlm.nih.gov/37277652/,https://doi.org/10.1038/s41588-023-01409-8,https://www.nature.com/articles/s41588-023-01409-8,biofluid orig: 'Urine & Plasma'; platform orig: 'Metabolon HD4',
86,2023,Urine,NMR,NMR,"3 European cohorts (Generation Scotland, VIKING, FinnDiane)",54,"8,026",52,"Valo et al., medRxiv 2023",,10.1101/2023.12.20.23300206,,https://doi.org/10.1101/2023.12.20.23300206,https://www.medrxiv.org/content/10.1101/2023.12.20.23300206v1,platform orig: '600 MHz Bruker AVANCE III HD NMR spectrometer'; preprint/not in PubMed,
87,2023,Plasma,four MS/MS assays,?,Chinese pregnant women,84,"34,394",30 novel metabolite-gene associations,"Liu et al., medRxiv 2023",,10.1101/2023.11.26.23299022,,https://doi.org/10.1101/2023.11.26.23299022,https://www.medrxiv.org/content/10.1101/2023.11.26.23299022v1,"platform orig: 'amino acids, hormones, water-soluble vitamins (WSV), fat-soluble vitamins (FSV), and metal elements'; platform field looks mislabeled in source; preprint/not in PubMed",review
88,2023,Plasma,Mass spectrometry-based shotgun lipidomics,MS (Lipotype),Finnish individuals from the GeneRISK cohort,179 lipids from 13 lipid classes,"7,174",495 genome-trait associations in 56 genetic loci,"Ottensmann et al., Nat. Comm. 2023",37907536,10.1038/s41467-023-42532-8,https://pubmed.ncbi.nlm.nih.gov/37907536/,https://doi.org/10.1038/s41467-023-42532-8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10618167/,platform orig: 'Lipotype GmbH',
89,2023,Plasma,LC-MS,?,Atherosclerosis Risk in Communities (ARIC) Study,223,"8,406",41,"Rhee et al., Commun. Biol. 2023",37524825,10.1038/s42003-023-05159-5,https://pubmed.ncbi.nlm.nih.gov/37524825/,https://doi.org/10.1038/s42003-023-05159-5,https://www.nature.com/articles/s42003-023-05159-5,"platform orig: 'plasma eicosanoids and related metabolites, including PUFAs'; platform field looks mislabeled in source",review
90,2023,CSF + brain,Non-targeted MS,MS (Metabolon HD4),multiple Alzheimer's cohorts,440,"2,602 (CSF) and 1,016 (brain)",219 (CSF) and 36 (brain),"Wang et al., pre-print on Research Square, 2023",,10.21203/rs.3.rs-2923409,,https://doi.org/10.21203/rs.3.rs-2923409,https://doi.org/10.21203/rs.3.rs-2923409/v1,biofluid orig: 'Cerebrospinal fluid (CSF) and brain'; platform orig: 'Metabolon HD4'; PMID unresolved,
91,2023,RBC,,?,Women's Health Initiative Memory study,28 fatty acids,"7,479 women",12,"Westra et al., PLEFA 2023",,,,,https://www.plefa.com/article/S0952-3278(23)00046-7/fulltext,biofluid orig: 'Red blood cells (RBC)'; platform orig: ''; PMID unresolved; DOI unresolved,review
97,2023,Blood,Non-targeted MS,"MS (Metabolon, Broad)",TOPMed,"up to 1,666","up to 11,840","1985 novel, validated 761 known","Feofanova et al., Nat. Comms 2023",37253714,10.1038/s41467-023-38800-2,https://pubmed.ncbi.nlm.nih.gov/37253714/,https://doi.org/10.1038/s41467-023-38800-2,https://www.nature.com/articles/s41467-023-38800-2,platform orig: 'Metabolon/Broad platform',
92,2024,Serum,NMR,NMR (Chenomx),"Critically ill, mechanically ventilated patients with septic shock",20,230,4,"Daubney et al., Crit. Care Expl. 2024",38239409,10.1097/cce.0000000000001030,https://pubmed.ncbi.nlm.nih.gov/38239409/,https://doi.org/10.1097/cce.0000000000001030,https://journals.lww.com/ccejournal/fulltext/2024/01000/a_genome_wide_association_study_of_serum.9.aspx,platform orig: 'Chenomx',
93,2024,Plasma,NMR,NMR (Nightingale),Meta-analysis of 33 cohorts with updated quantification version of Nightingale platform,233,"136,016",>400 independent loci,"Karjalainen et al., Nature 2024",38448586,10.1038/s41586-024-07148-y,https://pubmed.ncbi.nlm.nih.gov/38448586/,https://doi.org/10.1038/s41586-024-07148-y,https://www.nature.com/articles/s41586-024-07148-y,biofluid orig: 'Predominantly plasma'; platform orig: 'Nightingale',
94,2024,Plasma,NMR,NMR (Nightingale),Estonian Biobank and UK Biobank,249,"619,372","89,489 locus-metabolite pairs at 8,917 loci","Tambets et al., medRxiv 2024",,10.1101/2024.10.15.24315557,,https://doi.org/10.1101/2024.10.15.24315557,https://www.medrxiv.org/content/10.1101/2024.10.15.24315557v2,platform orig: 'Nightingale'; preprint/not in PubMed,
98,2024,Blood,Non-targeted MS,MS (Metabolon HD4),NEO and Rhineland Study,224 with 10%-90% missingness,"594 + 4,165",55 associations with missingness,"Faquih et al., medRxiv 2024",,10.1101/2024.10.02.24314800,,https://doi.org/10.1101/2024.10.02.24314800,https://www.medrxiv.org/content/10.1101/2024.10.02.24314800v3,platform orig: 'Metabolon HD4'; preprint/not in PubMed,
95,2025,Plasma,NMR,NMR (Nightingale),UK Biobank,249,"~450,000","29,824 locus–metabolite associations mapping to 753 regions","Zoodsma et al., medRxiv 2025",,10.1101/2025.01.30.25321073,,https://doi.org/10.1101/2025.01.30.25321073,https://www.medrxiv.org/content/10.1101/2025.01.30.25321073v1,platform orig: 'Nightingale'; preprint/not in PubMed,
96,2025,Urine,NMR,NMR (Nightingale),3 European cohorts,54,"8,011",26 loci (54 associations for 19 metabolites),"Valo et al., Nat. Comms 2025",39746953,10.1038/s41467-024-55182-1,https://pubmed.ncbi.nlm.nih.gov/39746953/,https://doi.org/10.1038/s41467-024-55182-1,https://www.nature.com/articles/s41467-024-55182-1,platform orig: 'Nightingale Health urine NMR platform',
