score,cat,signals,penalties,year,source,pmid,doi,journal,title,authors,first_pdate,abstract
12,primary_pgwas?,prot:title|gwas:title,,2026,MED,41069105,10.1016/j.xhgg.2025.100529,HGG advances,Admixture-mapping analysis reveals genetic determinants of the human plasma proteome.,"Cruz DE, Deng S, Tahir UA, Chen ZZ, Benson MD, Tuftin B, Chen J, Farrell L, Shen D, Meyer M, Lange E, Gao Y, Hall ME, Tracy RP, Rich SS, Taylor K, Manichaikul A, Rotter JI, Sofer T, Wilson JG, Gerszten RE, Raffield LM, National Heart, Lung, and Blood Institute TOPMed (Trans-Omics for Precision Medicine) Consortium.",2025-10-08,"Protein profiling and genetic findings can be integrated to define the genetic architecture of the circulating proteome in chronic diseases. Most self-identified African American (AA) individuals have both African and European genetic ancestry. Admixture mapping can detect genomic association regions in which causal variants exist with substantial differences in allele frequency or effect sizes between genetic ancestries. We performed admixture mapping of the circulating proteome in 1,989 participants from the Jackson Heart Study (JHS), investigating the relation of local African ancestry with"
12,likely_primary,prot:abs|gwas:title|platform,,2026,MED,41078079,10.1111/all.70102,Allergy,Nasopharyngeal Microbiome-Epigenome-Wide Association Analysis in Infants With Severe Bronchiolitis.,"Shibata R, Li Y, Yaskolka Meir A, Cregeen SJ, Ross MC, Espinola JA, Sullivan AF, Liang L, Hasegawa K, Camargo CA, Zhu Z.",2025-10-13,"<h4>Background</h4>Bronchiolitis exposes infants to both acute burdens (e.g., hospitalization in cases of severe bronchiolitis) and increased risks for chronic respiratory sequelae (e.g., asthma). In severe bronchiolitis, recent evidence suggests distinct pathobiological roles of microbiota (e.g., viruses, bacteria) and host responses influenced by genetic and epigenetic factors. However, the relationship of airway microbiota with host DNA methylation (DNAm) in infants with severe bronchiolitis remains unknown.<h4>Methods</h4>In a multi-center prospective cohort of 504 multi-ethnic infants wit"
12,likely_primary,prot:title|gwas:abs|denovo-pqtl|cohort|nproteins,MR,2025,PPR,,10.21203/rs.3.rs-6413545/v1,"{'publisher': 'Research Square', 'yearOfPublication': 2025}","Plasma proteins and onset of atherosclerosis: Integrating human plasma proteogenomics, transcriptomics and in vivo evidence","Chen K, Pan Y, Wang Y, Luan M, Yan H, Yu J, Xin D, Zhao Y, Xu X, Li M, Zheng C.",2025-05-07,"<title>Abstract</title>  <p>Backgroud: Atherosclerosis, a leading driver of cardiovascular disease (CVD), lacks effective early therapeutic targets. Leveraging plasma proteome-wide Mendelian randomization (MR), this study identifies novel causal proteins implicated in atherosclerosis pathogenesis. <h4>Method:</h4> Genome-wide MR was conducted using cis-pQTLs from deCODE and UKB-PPP cohorts (approximately 90,000 individuals) as instrumental variables, integrating colocalization, summary-data-based MR (SMR), and HEIDI tests to validate causal proteins. Key findings were replicated in coronary ar"
12,likely_primary,prot:title|gwas:abs|denovo-pqtl|platform|cohort|nproteins,MR|drug-target,2023,MED,37940228,10.1016/j.jacc.2023.09.804,Journal of the American College of Cardiology,Plasma Proteomics to Identify Drug Targets for Ischemic Heart Disease.,"Mazidi M, Wright N, Yao P, Kartsonaki C, Millwood IY, Fry H, Said S, Pozarickij A, Pei P, Chen Y, Avery D, Du H, Schmidt DV, Yang L, Lv J, Yu C, Chen J, Hill M, Holmes MV, Howson JMM, Peto R, Collins R, Bennett DA, Walters RG, Li L, Clarke R, Chen Z, China Kadoorie Biobank Collaborative Group.",2023-11-01,"<h4>Background</h4>Integrated analyses of plasma proteomic and genetic markers in prospective studies can clarify the causal relevance of proteins and discover novel targets for ischemic heart disease (IHD) and other diseases.<h4>Objectives</h4>The purpose of this study was to examine associations of proteomics and genetics data with IHD in population studies to discover novel preventive treatments.<h4>Methods</h4>We conducted a nested case-cohort study in the China Kadoorie Biobank (CKB) involving 1,971 incident IHD cases and 2,001 subcohort participants who were genotyped and free of prior c"
12,likely_primary,prot:title|gwas:abs|denovo-pqtl|cohort|nproteins,MR,2024,MED,38333712,10.1016/j.isci.2024.108985,iScience,Proteome-wide Mendelian randomization identifies causal plasma proteins in lung cancer.,"Li H, Du S, Dai J, Jiang Y, Li Z, Fan Q, Zhang Y, You D, Zhang R, Zhao Y, Christiani DC, Shen S, Chen F.",2024-01-20,"Plasma proteins are promising biomarkers and potential drug targets in lung cancer. To evaluate the causal association between plasma proteins and lung cancer, we performed proteome-wide Mendelian randomization meta-analysis (PW-MR-meta) based on lung cancer genome-wide association studies (GWASs), protein quantitative trait loci (pQTLs) of 4,719 plasma proteins in deCODE and 4,775 in Fenland. Further, causal-protein risk score (CPRS) was developed based on causal proteins and validated in the UK Biobank. 270 plasma proteins were identified using PW-MR meta-analysis, including 39 robust causal"
12,likely_primary,prot:title|gwas:abs|denovo-pqtl|platform|cohort|nproteins,MR|drug-target,2024,MED,39355913,10.1161/circep.124.013037,Circulation. Arrhythmia and electrophysiology,Plasma Proteomic Insights for Identification of Novel Predictors and Potential Drug Targets in Atrial Fibrillation: A Prospective Cohort Study and Mendelian Randomization Analysis.,"Peng X, Li Y, Liu N, Xia S, Li X, Lai Y, He L, Sang C, Dong J, Ma C.",2024-10-02,"<h4>Background</h4>Currently, there are no reliable methods for predicting and preventing atrial fibrillation (AF) in its early stages. This study aimed to identify plasma proteins associated with AF to discover biomarkers and potential drug targets.<h4>Methods</h4>The UK Biobank Pharma Proteomics Project examined 2923 circulating proteins using the Olink platform, forming the basis of this prospective cohort study. The UK Biobank Pharma Proteomics Project included a randomly selected discovery cohort and the consortium-selected replication cohort. The study's end point was incident AF, identi"
12,likely_primary,prot:abs|gwas:abs|denovo-pqtl|nproteins,,2025,MED,40845133,10.1111/trf.18342,Transfusion,Altered DNA methylation of the ABO gene is associated with differential plasma levels of von willebrand factor and E-selectin.,"Lou T, Sugrue JA, Patin E, Milieu Intérieur Consortium, Quintana-Murci L, Duffy D, O'Farrelly C.",2025-08-22,"<h4>Background</h4>The ABO blood group system is associated with differential susceptibility to thrombotic vascular diseases. ABO is also known to be a strong trans-protein quantitative trait locus for plasma proteins involved in cell adhesion and hemostasis.<h4>Study design and method</h4>To further investigate these associations, we integrated epigenomic, genomic, and proteomic data from the Milieu Intérieur cohort. We used the rs8176719 SNP to classify donors as either type O or non-O, and used linear models to compare levels of 229 plasma proteins in 400 donors, including age, sex, cytomeg"
12,likely_primary,prot:title|gwas:abs|denovo-pqtl|cohort|nproteins,MR,2025,MED,39992613,10.1007/s11262-025-02145-3,Virus genes,Plasma proteins and herpes simplex virus infection: a proteome-wide Mendelian randomization study.,"Fu C, Xu W, Xu X, Zhao F, Zheng C, Yin Z.",2025-02-24,"Proteomics plays a pivotal role in clinical diagnostics and monitoring. We conducted proteome-wide Mendelian randomization (MR) study to estimate the causal association between plasma proteins and Herpes simplex virus (HSV) infection. Data for 2,923 plasma protein levels were obtained from a large-scale protein quantitative trait loci study involving 54,219 individuals, conducted by the UK Biobank Pharma Proteomics Project. HSV-associated SNPs were derived from the FinnGen study, which included a total of 400,098 subjects infected with HSV. MR analysis was performed to assess the links between"
11,likely_primary,prot:title|gwas:title|denovo-pqtl,MR,2026,PPR,,10.64898/2026.05.01.722237,"{'publisher': 'bioRxiv', 'yearOfPublication': 2026}",Colocalization and discordance between plasma and brain protein quantitative trait loci,"Cheng Y, Zhang W, Lu T.",2026-05-05,"Studies of protein quantitative trait loci (pQTLs) provide opportunities to interpret complex trait genetics and identify potential biomarkers and therapeutic targets. Circulating proteins are commonly used in pQTL studies due to the accessibility of blood-based measurements, but their levels may not always reflect regulation in disease-relevant tissues. We assessed colocalization and discordance between plasma and dorsal prefrontal cortex cis-pQTLs using data from four large-scale studies and investigated their implications for downstream analyses. Across the proteins examined, at most 80% of"
11,likely_primary,prot:abs|gwas:abs|denovo-pqtl|cohort,,2025,PPR,,10.20944/preprints202512.1773.v1,"{'publisher': 'Preprints.org', 'yearOfPublication': 2025}",Genetic Insights into Circulating Complement Proteins in Myalgic Encephalomyelitis/Chronic Fatigue Syndrome: A Potential Inflammatory Subgroup,"Maya J, Unger ER, Lin JS, Rajeevan MS.",2025-12-19,"Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS) is a debilitating multi-system illness with heterogeneity that complicates identifying the pathophysiology, biomarkers, and therapeutic targets. Evidence indicates the importance of immune dysregulation, including the complement system, in ME/CFS. This study investigates the contribution of genetic drivers to potential dysregulation of the complement pathway in ME/CFS. We used protein quantitative trait loci (pQTL) analyses, adjusted for covariates using linear and logistic regression, to identify genetic variants significantly associ"
11,likely_primary,prot:abs|gwas:abs|denovo-pqtl|cohort,,2026,MED,41683992,10.3390/ijms27031574,International journal of molecular sciences,Genetic Insights into Circulating Complement Proteins in Myalgic Encephalomyelitis/Chronic Fatigue Syndrome: A Potential Inflammatory Subgroup.,"Maya J, Unger ER, Lin JS, Rajeevan MS.",2026-02-05,"Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS) is a debilitating multi-system illness with heterogeneity that complicates identifying the pathophysiology, biomarkers, and therapeutic targets. Evidence indicates the importance of immune dysregulation, including the complement system, in ME/CFS. This study investigates the contribution of genetic drivers to potential dysregulation of the complement pathway in ME/CFS. We used protein quantitative trait loci (pQTL) analyses, adjusted for covariates using linear and logistic regression, to identify genetic variants significantly associ"
11,likely_primary,prot:title|gwas:title|denovo-pqtl|pqtl:title,MR|drug-target,2026,MED,42175501,10.1097/md.0000000000048728,Medicine,"Revealing drug targets for sepsis: An association study integrating Mendelian randomization, eQTL, pQTL, and protein-protein interaction networks. ","Lu E, Zhang Y, Shao X, Chen J, Jiang M, Tang W.",2026-05-01,"This study aims to reveal drug targets for sepsis: an association study integrating Mendelian randomization (MR), expression quantitative trait loci, protein quantitative trait loci, and protein-protein interaction networks. We identified 43 druggable proteins associated with sepsis, with B3GALT6 emerging as a key player (P = 5.24E-06). Sensitivity analyses indicated no significant heterogeneity among the proteins tested, reinforcing the robustness of our findings. Bioinformatics analyses demonstrated that B3GALT6 expression was significantly lower in sepsis patients compared to healthy contro"
11,likely_primary,prot:abs|gwas:abs|denovo-pqtl|cohort|nproteins,phewas,2026,MED,41639462,10.1038/s41586-025-10087-x,Nature,"Phenome-wide analysis of copy number variants in 470,727 UK Biobank genomes.","Zou XZ, Hu F, Lou H, Burren OS, Li X, Megy K, Wheeler E, Wu Q, Atanur SS, Karpinski M, Loesch D, Fairhurst-Hunter Z, Deevi SVV, Oerton E, Wen S, Jiang X, Salvoro C, Mitchell J, Nag A, Hollis B, O'Neill A, AstraZeneca Genomics Initiative, Harrow J, MacArthur S, Wasilewski S, O'Dell S, Tian L, Smith KR, Del Angel G, Fabre M, Dhindsa RS, Wang Q, Petrovski S, Carss K.",2026-02-04,"Copy number variants (CNVs) are key drivers of human diversity and disease risk<sup>1</sup>. Here we evaluate the role of CNVs across a broad range of human phenotypes and diseases by analysing CNVs from 470,727 UK Biobank whole-genome sequences and conducting a variant- and gene-level phenome-wide association study (PheWAS) with 2,941 plasma protein abundance measurements, 13,336 binary clinical phenotypes and 1,911 quantitative traits. Proteomic analyses validated functional associations of CNVs with nearby genes (cis-protein quantitative trait loci; cis-pQTLs)-with deletions and duplication"
11,likely_primary,prot:title|gwas:title|denovo-pqtl|pqtl:title,MR|drug-target,2025,MED,41029778,10.1186/s41065-025-00562-w,Hereditas,"Multi-omics Mendelian randomization integrating RNA-seq, eQTL and pQTL data revealed CPXM1 as a potential drug target for osteoporosis.","Lian J, Zhang X, Shi S, Li X, Wang Z, Pang H, Wang T, Gao W, Liu X.",2025-09-30,"Osteoporosis, a prevalent skeletal disorder characterized by decreased bone mineral density and increased fracture risk, continues to be a major global health concern. Traditional treatments for osteoporosis have limited efficacy and safety profiles, highlighting the need for novel therapeutic targets. This study integrates multi-omics data, including RNA-seq, expression quantitative trait loci (eQTL), and protein quantitative trait loci (pQTL) data, through Mendelian randomization (MR) to identify potential drug targets for osteoporosis. By leveraging bidirectional two-sample MR analysis, we "
11,likely_primary,prot:title|gwas:title|denovo-pqtl|pqtl:title,MR|drug-target,2025,MED,41006511,10.1038/s41598-025-17664-0,Scientific reports,"Multiomics Mendelian randomization integrating pQTL, eQTL and mQTL data revealed BTN3A2 as a potential drug target for nephrolithiasis.","Sun S, Wang Y, Dong Q, Bi J, Fu Y.",2025-09-26,"Nephrolithiasis has a high recurrence rate and imposes a heavy burden on patients and society. Therefore, there is an urgent need to explore new effective targets for nephrolithiasis prevention and treatment. Protein quantitative trait loci (pQTL) data of plasma proteins and plasma protein-protein ratios were used as plasma protein related targets (PPRTs), and genome-wide association studies (GWASs) of nephrolithiasis were used as outcomes. Bidirectional Mendelian randomization analyses were then conducted. The mediating factors between PPRTs and nephrolithiasis were identified. After colocali"
11,likely_primary,prot:title|gwas:title|denovo-pqtl,MR,2025,PPR,,10.1101/2025.01.02.25319932,"{'publisher': 'medRxiv', 'yearOfPublication': 2025}",Mendelian Randomization Reveals Causal Pathways Between Plasma Protein Quantitative Trait Loci and Graves’Disease Mediated by Immune Cells,"Cui S, Liu Q.",2025-01-03,"Graves’ disease (GD) is an autoimmune disorder characterized by hyperthyroidism caused by thyroid-stimulating antibodies (TRAb) activating the thyroid-stimulating hormone receptor (TSHR). Current treatments, including antithyroid drugs, radioactive iodine therapy, and surgery, can control hormone secretion but fail to prevent the immune system’s persistent attacks on the thyroid gland. This highlights the need for in-depth research into the immune pathogenesis of GD to develop novel therapeutic strategies. The study results showed that several key pQTLs, including ACE, PMM2, FCRL4, and DPEP1, "
11,likely_primary,prot:abs|gwas:abs|denovo-pqtl|cohort,,2026,PPR,,10.21203/rs.3.rs-9368949/v1,"{'publisher': 'Research Square', 'yearOfPublication': 2026}","InsulatorLeak, a mechanism-first pipeline for variant prioritization by predicted CTCF insulator disruption across seven autoimmune diseases",Shah N.,2026-04-10,"<title>Abstract</title>  <p>Genome-wide association studies have mapped hundreds of autoimmune risk loci, yet fewer than 5% of associated variants have established causal mechanisms. CTCF-bound insulators partition the genome into regulatory domains. When disrupted, enhancers can activate genes they normally do not regulate, a phenomenon termed insulator leakage that has been implicated in malignancy and may contribute to autoimmunity. We reasoned that prioritizing variants by predicted insulator disruption, then validating that prioritization empirically across independent cohorts and disease"
11,likely_primary,prot:title|gwas:abs|denovo-pqtl|cohort,drug-target,2026,MED,42130663,10.1159/000551293,Skin appendage disorders,"Plasma Proteome-Driven Identification of Druggable Immune Regulators of Alopecia Areata, Validated by Transcriptome and Single-Cell Mapping.","Pan L, Li C, Yang L.",2026-03-11,"<h4>Introduction</h4>Alopecia areata (AA) is an autoimmune hair-loss disorder driven by aberrant T-cell activation and immune-epithelial crosstalk. To identify actionable upstream regulators, we established a proteome-anchored multi-omics framework integrating genetic instruments, lesional transcriptomics, and single-cell immune profiling.<h4>Methods</h4>Putative causal plasma proteins were prioritized using cis-protein quantitative trait loci-based inference across two large proteomic datasets (UKB-PPP and deCODE). Candidates were validated by differential expression in AA lesions, protein-in"
11,likely_mr,prot:title|gwas:abs|platform|cohort|nproteins,MR,2024,MED,39397782,10.1093/eurheartj/ehae658,European heart journal,Plasma proteome and incident myocardial infarction: sex-specific differences.,"Titova OE, Yuan S, Byberg L, Baron JA, Lind L, Michaëlsson K, Larsson SC.",2024-11-01,"<h4>Background and aims</h4>Few population-based cohort studies, including both men and women, have explored circulating proteins associated with incident myocardial infarction (MI). This study investigated the relationships between circulating cardiometabolic-related proteins and MI risk using cohort-based and Mendelian randomization (MR) analyses and explored potential sex-specific differences.<h4>Methods</h4>The discovery cohort included 11 751 Swedish adults (55-93 years). Data on 259 proteins assessed with Olink proximity extension assays, biochemical, and questionnaire-based information "
11,likely_primary,prot:abs|gwas:abs|denovo-pqtl|cohort,,2024,MED,39839775,10.3389/fonc.2024.1505675,Frontiers in oncology,Machine learning-based identification of proteomic markers in colorectal cancer using UK Biobank data.,"Radhakrishnan SK, Nath D, Russ D, Merodio LB, Lad P, Daisi FK, Acharjee A.",2025-01-07,"Colorectal cancer is one of the leading causes of cancer-related mortality in the world. Incidence and mortality are predicted to rise globally during the next several decades. When detected early, colorectal cancer is treatable with surgery and medications. This leads to the requirement for prognostic and diagnostic biomarker development. Our study integrates machine learning models and protein network analysis to identify protein biomarkers for colorectal cancer. Our methodology leverages an extensive collection of proteome profiles from both healthy and colorectal cancer individuals. To ide"
11,primary_pgwas?,prot:abs|gwas:abs|platform|nproteins,,2024,MED,39284855,10.1038/s41598-024-71669-9,Scientific reports,Genomic study of taste perception genes in African Americans reveals SNPs linked to Alzheimer's disease.,"Joseph PV, Abbas M, Goodney G, Diallo A, Gaye A.",2024-09-16,"While previous research has shown the potential links between taste perception pathways and brain-related conditions, the area involving Alzheimer's disease remains incompletely understood. Taste perception involves neurotransmitter signaling, including serotonin, glutamate, and dopamine. Disruptions in these pathways are implicated in neurodegenerative diseases. The integration of olfactory and taste signals in flavor perception may impact brain health, evident in olfactory dysfunction as an early symptom in neurodegenerative conditions. Shared immune response and inflammatory pathways may co"
11,primary_pgwas?,prot:abs|gwas:abs|platform|nproteins,,2024,PPR,,10.1101/2024.08.10.607452,"{'publisher': 'bioRxiv', 'yearOfPublication': 2024}",Genomic Study of Taste Perception Genes in African Americans Reveals SNPs Linked to Alzheimer’s Disease,"Joseph PV, Abbas M, Goodney G, Diallo A, Gaye A.",2024-08-10,"<h4>ABSTRACT</h4>  <h4>Background</h4>  While previous research has shown the potential links between taste perception pathways and brain-related conditions, the area involving Alzheimer’s disease remains incompletely understood. Taste perception involves neurotransmitter signaling, including serotonin, glutamate, and dopamine. Disruptions in these pathways are implicated in neurodegenerative diseases. The integration of olfactory and taste signals in flavor perception may impact brain health, evident in olfactory dysfunction as an early symptom in neurodegenerative conditions. Shared immune r"
11,likely_primary,prot:abs|gwas:abs|denovo-pqtl|cohort,,2025,MED,40764432,10.1038/s43587-025-00925-y,Nature aging,Large-scale genome-wide analyses with proteomics integration reveal novel loci and biological insights into frailty.,"Mak JKL, Qin C, Krüger M, Kuukka A, FinnGen, Hägg S, Lin J, Jylhävä J.",2025-08-05,"Frailty is a clinically relevant phenotype with notable gaps in our understanding of its etiology. Using the Hospital Frailty Risk Score (HFRS) to define frailty, we performed a genome-wide association study in FinnGen (N = 500,737), replicated the results in the UK Biobank (N = 407,463) and performed a meta-analysis. We prioritized genes through colocalization with expression, splicing and protein quantitative trait loci and proteomics integration. We identified 53 independent lead variants associated with frailty (P < 5 × 10<sup>-8</sup>), of which 45 were novel and not previously reported i"
11,primary_pgwas?,prot:abs|gwas:abs|platform|nproteins,,2024,MED,39223457,10.1186/s12864-024-10619-1,BMC genomics,Proteomic networks and related genetic variants associated with smoking and chronic obstructive pulmonary disease.,"Konigsberg IR, Vu T, Liu W, Litkowski EM, Pratte KA, Vargas LB, Gilmore N, Abdel-Hafiz M, Manichaikul A, Cho MH, Hersh CP, DeMeo DL, Banaei-Kashani F, Bowler RP, Lange LA, Kechris KJ.",2024-09-02,"<h4>Background</h4>Studies have identified individual blood biomarkers associated with chronic obstructive pulmonary disease (COPD) and related phenotypes. However, complex diseases such as COPD typically involve changes in multiple molecules with interconnections that may not be captured when considering single molecular features.<h4>Methods</h4>Leveraging proteomic data from 3,173 COPDGene Non-Hispanic White (NHW) and African American (AA) participants, we applied sparse multiple canonical correlation network analysis (SmCCNet) to 4,776 proteins assayed on the SomaScan v4.0 platform to deriv"
11,primary_pgwas?,prot:abs|gwas:abs|platform|nproteins,,2024,PPR,,10.1101/2024.02.26.24303069,"{'publisher': 'medRxiv', 'yearOfPublication': 2024}",Proteomic Networks and Related Genetic Variants Associated with Smoking and Chronic Obstructive Pulmonary Disease,"Konigsberg IR, Vu T, Liu W, Litkowski EM, Pratte KA, Vargas LB, Gilmore N, Abdel-Hafiz M, Manichaikul AW, Cho MH, Hersh CP, DeMeo DL, Banaei-Kashani F, Bowler RP, Lange LA, Kechris KJ.",2024-02-28,"<h4>Background</h4> Studies have identified individual blood biomarkers associated with chronic obstructive pulmonary disease (COPD) and related phenotypes. However, complex diseases such as COPD typically involve changes in multiple molecules with interconnections that may not be captured when considering single molecular features. <h4>Methods</h4> Leveraging proteomic data from 3,173 COPDGene Non-Hispanic White (NHW) and African American (AA) participants, we applied sparse multiple canonical correlation network analysis (SmCCNet) to 4,776 proteins assayed on the SomaScan v4.0 platform to de"
11,likely_primary,prot:title|gwas:abs|denovo-pqtl|platform,MR,2024,PPR,,10.21203/rs.3.rs-4609517/v1,"{'publisher': 'Research Square', 'yearOfPublication': 2024}",Protein Level Ratios as Causal Factors in Primary Sclerosing Cholangitis: Insights from a Two-Sample Mendelian Randomization Study,"Zhou J, Xu Y, Wang H, Wang K, Chen C.",2024-07-12,"<title>Abstract</title>  <p>Background  Primary Sclerosing Cholangitis (PSC) currently lacks effective biomarkers and therapeutic targets. The study of protein level ratios may offer new insights for addressing this challenge. Methods  The summary statistics for PSC in this study was sourced from the International PSC Study Group, encompassing 2,871 PSC patients and 12,019 control participants. Protein quantitative trait loci data were sourced from the Olink proteomics platform, facilitating the identification of 2,821 significant protein level ratios. Furthermore, we conducted a Mendelian Ran"
11,primary_pgwas?,prot:title|gwas:abs|nproteins,,2026,MED,41732172,10.1016/j.jhepr.2025.101719,JHEP reports : innovation in hepatology,Proteome-scale autoantibody profiling in PSC: Associations with clinical phenotypes and evidence for neuroendocrine deregulations.,"Cornillet M, Båve AL, Sun D, Nouairia G, Villard C, Grigoriadis A, von Seth E, Jansson H, Álvez MB, Bergström S, Nilsson P, Uhlén M, Edfors F, Stål P, SweHep consortium, Sparrelid E, Björkström NK, Halfvarson J, Bergquist A.",2025-12-23,"<h4>Background & aims</h4>Primary sclerosing cholangitis (PSC) is a rare cholestatic liver disease with heterogeneous phenotypes and progression. Autoimmune traits, such as the presence of autoantibodies, are suspected to drive its heterogeneity.<h4>Methods</h4>We performed a proteome-scale autoantibody screen of IgG and IgA isotypes using >42,100 protein fragments. This was followed by a validation of 1,153 selected autoantibodies, in serum samples from 466 patients with PSC in a longitudinal setting using the SUPRIM cohort and 214 controls.<h4>Results</h4>We identified autoantibodies associa"
11,likely_mr,prot:title|gwas:abs|platform|cohort|nproteins,MR,2024,PPR,,10.1101/2024.11.09.24317011,"{'publisher': 'medRxiv', 'yearOfPublication': 2024}","Cross-sectional, interventional, and causal investigation of insulin sensitivity using plasma proteomics in diverse populations","Kho PF, Wary N, Zanetti D, Abbasi F, Knowles JW, Panyard DJ, Watson KT, Stell L, Lazzeroni LC, Gustafsson S, Lind L, Petrie JR, Assimes TL.",2024-11-12,"<h4>Background</h4> We previously reported significant correlations between a direct measure of insulin sensitivity (IS) and blood levels of proteins measured using the Proximity Extension Assay (PEA) in two European cohorts. However, protein correlations with IS within non-European populations, in response to short-term interventions that improve IS, and any causal associations with IS have not yet been established. <h4>Methods</h4> We measured 1,470 proteins using the PEA in the plasma of 1,015 research participants at Stanford University who underwent one or more direct measures of IS. Asso"
11,likely_mr,prot:title|gwas:abs|platform|cohort|nproteins,MR,2025,MED,40221021,10.1016/j.metabol.2025.156263,Metabolism: clinical and experimental,"Cross-sectional, interventional, and causal investigation of insulin sensitivity using plasma proteomics in diverse populations.","Kho PF, Wary N, Zanetti D, Abbasi F, Knowles JW, Panyard DJ, Watson KT, RISC Investigators, Stell L, Lazzeroni LC, Gustafsson S, Lind L, Petrie JR, Assimes TL.",2025-04-11,"<h4>Background</h4>We previously reported significant correlations between a direct measure of insulin sensitivity (IS) and blood levels of proteins measured using the Proximity Extension Assay (PEA) in two European cohorts. However, protein correlations with IS within non-European populations, in response to short-term interventions that improve IS, and any causal associations with IS have not yet been established.<h4>Methods</h4>We measured 1470 proteins using the PEA in the plasma of 1015 research participants at Stanford University who underwent one or more direct measures of IS. Associati"
11,primary_pgwas?,prot:abs|gwas:title|nproteins,,2023,MED,37857178,10.1016/j.vetpar.2023.110047,Veterinary parasitology,Weighted single-step genome-wide association study and functional enrichment analyses for gastrointestinal nematode resistance traits in Santa Ines sheep.,"Stafuzza NB, Freitas AC, Mioto MB, Silva RMO, Fragomeni BO, Pedrosa VB, Costa RLDD, Paz CCP.",2023-10-07,"This study aimed to identify genomic regions, pathways, and putative candidate genes associated with resistance to gastrointestinal nematode in Santa Ines sheep. The phenotypic information comprised 5529 records from 1703 naturally infected animals. After genomic data quality control, 37,511 SNPs from 589 animals were available. The weighted single-step approach for genome-wide association study was performed to estimate the SNP effects and variances accounted by 10-SNP sliding windows. Confirming the polygenic nature of the studied traits, 20, 22, 21, and 19 genomic windows that explained mor"
11,likely_primary,prot:abs|gwas:abs|denovo-pqtl|cohort,,2024,PPR,,10.1101/2024.08.26.24312584,"{'publisher': 'medRxiv', 'yearOfPublication': 2024}",Large-scale genome-wide analyses with proteomics integration reveal novel loci and biological insights into frailty,"Mak JK, Qin C, Kuukka A, FinnGen, Hägg S, Lin J, Jylhävä J.",2024-08-26,"Frailty is a clinically relevant phenotype with significant gaps in our understanding of its etiology. We performed a genome-wide association study of frailty in FinnGen (N=500,737) and replicated the signals in the UK Biobank (N=429,463) using polygenic risk scores (PRSs). We prioritized genes through proteomics integration (N∼45,000; UK Biobank) and colocalization of protein quantitative trait loci. Frailty was measured using the Hospital Frailty Risk Score (HFRS). We observed 1,588 variants associated with frailty ( p <5×10 -8 ) of which 1,242 were novel, i.e., previously unreported for any"
10,likely_primary,prot:abs|gwas:abs|denovo-pqtl|platform|nproteins,MR,2026,MED,41456820,10.1016/j.molmet.2025.102314,Molecular metabolism,Deciphering tissue-specific protein regulation for insights into cardiometabolic disease.,"Hartley AE, Sukhavasi K, Hu S, Traylor M, Gonzalez-Ramirez M, Hanghøj KE, Talukdar H, Ruusalepp A, Björkegren E, Björkegren JL, Howson JM, Jamshidi Y.",2025-12-26,"Understanding tissue-specific mechanisms of protein regulation gives crucial insights into cardiometabolic disease and informs drug discovery. Most proteomic studies have primarily concentrated on plasma, overlooking tissue-specific effects. Utilizing Olink technology, we assessed relative protein levels across plasma and tissue (aortic wall, mammary artery, liver, and skeletal muscle) from the STARNET cohort: 284 individuals with a high prevalence of coronary artery disease (CAD). We identified 608 cis protein quantitative trait loci (pQTLs), primarily in plasma, reflecting greater protein va"
10,likely_primary,prot:title|gwas:abs|denovo-pqtl|nproteins,MR,2026,MED,42171268,10.1002/ana.78256,Annals of neurology,Genetic-Proteomic Integration Identifies Predictive Plasma Proteins for Multiple Sclerosis.,"Ding Y, Hamitouche D, Thebault S, Kearns P, Abdelhak A, Harroud A.",2026-05-22,"<h4>Objective</h4>Multiple sclerosis (MS) develops after a prolonged preclinical phase. Identifying circulating biomarkers that capture this early biology can improve risk stratification and guide intervention. We aimed to identify plasma proteins driving MS susceptibility using large-scale proteogenomic integration and to evaluate their prediagnostic predictive value and effects on severity.<h4>Methods</h4>We used cis-acting protein quantitative trait loci (pQTL) for 2,545 plasma proteins (n = 80,824). Predicted protein levels were tested for association with MS risk in 14,802 cases and 26,70"
10,likely_primary,prot:title|gwas:abs|denovo-pqtl|nproteins,MR,2025,PPR,,10.1101/2025.11.20.25340712,"{'publisher': 'medRxiv', 'yearOfPublication': 2025}",Comprehensive genomic atlas of plasma proteome in the Japanese population: the Nagahama study,"Yang T, Kawaguchi T, Kawaguchi S, Higasa K, Yoshiji S, Iwasaki T, Zhao T, Takahashi M, Setoh K, Horii K, Kato S, Nakayama T, Kosugi S, Waga I, Tabara Y, Nagasaki M, Matsuda F.",2025-11-21,"Combining the plasma proteome with the genome offers insights into diseases. Here, we characterized the genetic architecture of plasma proteins in 1,823 Japanese individuals. We identified 1,876 protein quantitative trait loci (pQTLs) comprising 1,395 variants associated with 1,254 unique proteins, with 77 pQTLs being specific to the Japanese population. Multi-ancestry fine-mapping identified 475 credible sets shared between Japanese  cis -pQTLs and European  cis -eQTLs. By integrating both  cis - and  trans -pQTLs, we identified a Japanese-specific  trans -pQTL hotspot in the  CD36 gene, asso"
